858.89054, 0.00041
877.41151, 0.01070
884.72431, 0.02244
888.66330, 0.03359
892.57040, 0.04375
896.56278, 0.04872
899.36535, 0.06240
902.08333, 0.07443
905.14106, 0.09233
908.40125, 0.10926
910.91678, 0.12226
914.14438, 0.15185
917.71173, 0.16982
920.23973, 0.18484
922.63807, 0.20547
926.15896, 0.23706
929.09328, 0.27047
932.07820, 0.29555
934.69912, 0.32953
937.99743, 0.36783
940.30496, 0.40608
942.34344, 0.44134
943.91667, 0.46268
945.40117, 0.48840
947.26979, 0.52364
949.83591, 0.58262
951.34676, 0.61748
953.04550, 0.65269
954.74424, 0.69373
955.92502, 0.73685
957.63209, 0.78450
959.16096, 0.83718
960.43501, 0.87817
961.67438, 0.92534
963.48095, 0.98061
964.85173, 1.03619
966.93592, 1.14696
969.35339, 1.30209
970.55323, 1.38650
971.72455, 1.48317
972.41112, 1.56489
973.09062, 1.64370
974.45669, 1.82326
975.02529, 1.91152
975.46363, 2.03219
975.74962, 2.13092
976.31114, 2.31758
976.76886, 2.51160
977.07678, 2.66162
977.56632, 2.97485
977.95798, 3.18659
978.29772, 3.39776
978.68702, 3.66651
979.09519, 3.77209
980.86943, 3.52508
981.22333, 3.34089
982.57996, 2.28425
983.16508, 2.01555
984.19140, 1.51400
985.48433, 1.12448
987.13824, 0.86191
987.86965, 0.77981
989.49524, 0.65426
991.77674, 0.53545
993.06669, 0.47613
994.32485, 0.41917
995.73575, 0.37450
997.16788, 0.33792
999.16288, 0.28797
1001.20475, 0.24987
1002.90348, 0.21803
1004.91224, 0.18951
1011.00135, 0.12179
1013.69048, 0.10691
1016.92058, 0.08370
1019.63606, 0.07273
1022.83982, 0.06067
1025.58165, 0.05020
1028.75906, 0.04265
1031.69711, 0.03936
1034.67829, 0.03843
1038.06738, 0.03147
1042.05942, 0.02909
1046.26196, 0.02826
1050.04349, 0.02725
1054.71502, 0.02496
1058.35524, 0.02405
1061.42504, 0.02586
1065.41707, 0.02348
1069.93890, 0.02561
1073.31621, 0.02746
1077.30206, 0.02660
1083.50864, 0.02592
1090.32965, 0.02835
1099.78989, 0.02962
1109.65529, 0.01966
