904.78394, 0.00027
908.73010, 0.00268
912.82303, 0.00329
916.62241, 0.00380
920.56857, 0.00554
924.51473, 0.00863
928.46089, 0.01540
932.40705, 0.02413
936.35320, 0.04414
939.49806, 0.06196
942.40007, 0.08665
944.80662, 0.11612
947.35472, 0.14562
949.76127, 0.18481
952.13783, 0.22189
954.57436, 0.26806
956.08399, 0.31131
957.68872, 0.36080
958.67965, 0.39009
959.70130, 0.43295
960.94463, 0.47785
962.07713, 0.53631
962.66092, 0.56992
963.91743, 0.63374
965.12727, 0.70006
966.04085, 0.75550
966.74866, 0.81390
967.33054, 0.85838
968.29703, 0.93737
968.80130, 1.00125
969.36755, 1.06449
969.86301, 1.13016
970.27590, 1.20269
970.85922, 1.28417
971.42019, 1.35388
972.06593, 1.44839
972.55268, 1.54353
972.95486, 1.64092
973.42565, 1.73477
973.56713, 1.82043
973.95650, 1.90328
974.19612, 2.01249
974.44017, 2.12929
974.71914, 2.24048
975.05634, 2.37106
975.38391, 2.46954
975.54282, 2.55420
975.67883, 2.65584
975.93275, 2.74655
975.97375, 2.82392
976.09821, 2.89961
976.32766, 3.00821
976.47247, 3.11070
976.68335, 3.21522
976.85851, 3.31601
976.99184, 3.39435
977.09445, 3.48206
977.13016, 3.57909
977.21242, 3.66226
977.24813, 3.72872
977.27140, 3.80197
977.40003, 3.88675
977.50734, 3.96801
977.78786, 4.23470
977.86124, 4.30414
977.90582, 4.37422
977.97921, 4.46207
978.13027, 4.54956
978.27413, 4.64027
978.45108, 4.74153
978.62803, 4.83873
978.68702, 4.92377
978.80499, 5.01287
979.04092, 5.11008
979.15889, 5.18703
979.21787, 5.28219
979.33584, 5.38748
980.22060, 5.50705
980.92841, 5.34518
981.40028, 5.15898
981.63622, 4.95251
981.75419, 4.73792
981.99012, 4.59623
982.22606, 4.43835
982.28504, 4.28854
982.34403, 4.12860
982.40301, 4.01794
982.54360, 3.91177
982.63895, 3.84318
982.81590, 3.69946
983.10838, 3.34286
983.23079, 3.22565
983.62775, 2.93839
983.87761, 2.80676
984.07996, 2.71853
984.36914, 2.62462
984.58542, 2.51600
984.78203, 2.41479
985.07695, 2.29943
985.37187, 2.20904
985.64713, 2.13889
986.00902, 2.05735
986.47290, 1.98919
987.02061, 1.88695
987.60262, 1.76610
988.50825, 1.58136
990.61287, 1.43716
992.91479, 1.31049
995.87441, 1.18955
999.49172, 1.05082
1003.43788, 0.92907
1007.38404, 0.83930
1011.38918, 0.75895
1015.27635, 0.68422
1019.22251, 0.61891
1023.16867, 0.56676
1027.11483, 0.51838
1031.06098, 0.46812
1035.00714, 0.41786
1038.95330, 0.37700
1042.89946, 0.34367
1046.84561, 0.30657
1050.79177, 0.29205
1054.73793, 0.27377
1058.68409, 0.25173
1062.63024, 0.23156
1066.57640, 0.20388
1070.38162, 0.18016
1074.46872, 0.16167
1077.66215, 0.15503
1080.49338, 0.13516
1084.20937, 0.11946
1087.80740, 0.10375
1090.57964, 0.09805
1093.35189, 0.09640
1096.36007, 0.09275
1098.89639, 0.08095
1101.37371, 0.07318
1104.44088, 0.06549
1108.56976, 0.06605
1112.10880, 0.05033
1116.35565, 0.05495
1120.24859, 0.04737
1124.02356, 0.04383
